airport_id,airport_code,airport_name,city,state
1,ABE,,Allentown/Bethlehem/Easton, PA,PA
2,ABI,,Abilene, TX,TX
3,ABQ,,Albuquerque, NM,NM
4,ABR,,Aberdeen, SD,SD
5,ABY,,Albany, GA,GA
6,ACK,,Nantucket, MA,MA
7,ACT,,Waco, TX,TX
8,ACV,,Arcata/Eureka, CA,CA
9,ACY,,Atlantic City, NJ,NJ
10,ADK,,Adak Island, AK,AK
11,ADQ,,Kodiak, AK,AK
12,AEX,,Alexandria, LA,LA
13,AGS,,Augusta, GA,GA
14,AKN,,King Salmon, AK,AK
15,ALB,,Albany, NY,NY
16,ALO,,Waterloo, IA,IA
17,AMA,,Amarillo, TX,TX
18,ANC,,Anchorage, AK,AK
19,APN,,Alpena, MI,MI
20,ART,,Watertown, NY,NY
21,ASE,,Aspen, CO,CO
22,ATL,,Atlanta, GA,GA
23,ATW,,Appleton, WI,WI
24,ATY,,Watertown, SD,SD
25,AUS,,Austin, TX,TX
26,AVL,,Asheville, NC,NC
27,AVP,,Scranton/Wilkes-Barre, PA,PA
28,AZA,,Phoenix, AZ,AZ
29,AZO,,Kalamazoo, MI,MI
30,BDL,,Hartford, CT,CT
31,BET,,Bethel, AK,AK
32,BFF,,Scottsbluff, NE,NE
33,BFL,,Bakersfield, CA,CA
34,BFM,,Mobile, AL,AL
35,BGM,,Binghamton, NY,NY
36,BGR,,Bangor, ME,ME
37,BHM,,Birmingham, AL,AL
38,BIL,,Billings, MT,MT
39,BIS,,Bismarck/Mandan, ND,ND
40,BJI,,Bemidji, MN,MN
41,BKG,,Branson, MO,MO
42,BLI,,Bellingham, WA,WA
43,BLV,,Belleville, IL,IL
44,BMI,,Bloomington/Normal, IL,IL
45,BNA,,Nashville, TN,TN
46,BOI,,Boise, ID,ID
47,BOS,,Boston, MA,MA
48,BPT,,Beaumont/Port Arthur, TX,TX
49,BQK,,Brunswick, GA,GA
50,BQN,,Aguadilla, PR,PR
51,BRD,,Brainerd, MN,MN
52,BRO,,Brownsville, TX,TX
53,BRW,,Barrow, AK,AK
54,BTM,,Butte, MT,MT
55,BTR,,Baton Rouge, LA,LA
56,BTV,,Burlington, VT,VT
57,BUF,,Buffalo, NY,NY
58,BUR,,Burbank, CA,CA
59,BWI,,Baltimore, MD,MD
60,BZN,,Bozeman, MT,MT
61,CAE,,Columbia, SC,SC
62,CAK,,Akron, OH,OH
63,CDC,,Cedar City, UT,UT
64,CDV,,Cordova, AK,AK
65,CEC,,Crescent City, CA,CA
66,CGI,,Cape Girardeau, MO,MO
67,CHA,,Chattanooga, TN,TN
68,CHO,,Charlottesville, VA,VA
69,CHS,,Charleston, SC,SC
70,CIC,,Chico, CA,CA
71,CID,,Cedar Rapids/Iowa City, IA,IA
72,CIU,,Sault Ste. Marie, MI,MI
73,CKB,,Clarksburg/Fairmont, WV,WV
74,CLD,,Carlsbad, CA,CA
75,CLE,,Cleveland, OH,OH
76,CLL,,College Station/Bryan, TX,TX
77,CLT,,Charlotte, NC,NC
78,CMH,,Columbus, OH,OH
79,CMI,,Champaign/Urbana, IL,IL
