fecha_id,fecha,year,month,day,quarter,weekday,is_holiday
1,2009-01-01,2009,1,1,1,5,False
2,2009-01-02,2009,1,2,1,6,False
3,2009-01-03,2009,1,3,1,7,False
4,2009-01-04,2009,1,4,1,1,False
5,2009-01-05,2009,1,5,1,2,False
6,2009-01-06,2009,1,6,1,3,False
7,2009-01-07,2009,1,7,1,4,False
8,2009-01-08,2009,1,8,1,5,False
9,2009-01-09,2009,1,9,1,6,False
10,2009-01-10,2009,1,10,1,7,False
11,2009-01-11,2009,1,11,1,1,False
12,2009-01-12,2009,1,12,1,2,False
13,2009-01-13,2009,1,13,1,3,False
14,2009-01-14,2009,1,14,1,4,False
15,2009-01-15,2009,1,15,1,5,False
16,2009-01-16,2009,1,16,1,6,False
17,2009-01-17,2009,1,17,1,7,False
18,2009-01-18,2009,1,18,1,1,False
19,2009-01-19,2009,1,19,1,2,False
20,2009-01-20,2009,1,20,1,3,False
21,2009-01-21,2009,1,21,1,4,False
22,2009-01-22,2009,1,22,1,5,False
23,2009-01-23,2009,1,23,1,6,False
24,2009-01-24,2009,1,24,1,7,False
25,2009-01-25,2009,1,25,1,1,False
26,2009-01-26,2009,1,26,1,2,False
27,2009-01-27,2009,1,27,1,3,False
28,2009-01-28,2009,1,28,1,4,False
29,2009-01-29,2009,1,29,1,5,False
30,2009-01-30,2009,1,30,1,6,False
31,2009-01-31,2009,1,31,1,7,False
32,2009-02-01,2009,2,1,1,1,False
33,2009-02-02,2009,2,2,1,2,False
34,2009-02-03,2009,2,3,1,3,False
35,2009-02-04,2009,2,4,1,4,False
36,2009-02-05,2009,2,5,1,5,False
37,2009-02-06,2009,2,6,1,6,False
38,2009-02-07,2009,2,7,1,7,False
39,2009-02-08,2009,2,8,1,1,False
40,2009-02-09,2009,2,9,1,2,False
41,2009-02-10,2009,2,10,1,3,False
42,2009-02-11,2009,2,11,1,4,False
43,2009-02-12,2009,2,12,1,5,False
44,2009-02-13,2009,2,13,1,6,False
45,2009-02-14,2009,2,14,1,7,False
46,2009-02-15,2009,2,15,1,1,False
47,2009-02-16,2009,2,16,1,2,False
48,2009-02-17,2009,2,17,1,3,False
49,2009-02-18,2009,2,18,1,4,False
50,2009-02-19,2009,2,19,1,5,False
51,2009-02-20,2009,2,20,1,6,False
52,2009-02-21,2009,2,21,1,7,False
53,2009-02-22,2009,2,22,1,1,False
54,2009-02-23,2009,2,23,1,2,False
55,2009-02-24,2009,2,24,1,3,False
56,2009-02-25,2009,2,25,1,4,False
57,2009-02-26,2009,2,26,1,5,False
58,2009-02-27,2009,2,27,1,6,False
59,2009-02-28,2009,2,28,1,7,False
60,2009-03-01,2009,3,1,1,1,False
61,2009-03-02,2009,3,2,1,2,False
62,2009-03-03,2009,3,3,1,3,False
63,2009-03-04,2009,3,4,1,4,False
64,2009-03-05,2009,3,5,1,5,False
65,2009-03-06,2009,3,6,1,6,False
66,2009-03-07,2009,3,7,1,7,False
67,2009-03-08,2009,3,8,1,1,False
68,2009-03-09,2009,3,9,1,2,False
69,2009-03-10,2009,3,10,1,3,False
70,2009-03-11,2009,3,11,1,4,False
71,2009-03-12,2009,3,12,1,5,False
72,2009-03-13,2009,3,13,1,6,False
73,2009-03-14,2009,3,14,1,7,False
74,2009-03-15,2009,3,15,1,1,False
75,2009-03-16,2009,3,16,1,2,False
76,2009-03-17,2009,3,17,1,3,False
77,2009-03-18,2009,3,18,1,4,False
78,2009-03-19,2009,3,19,1,5,False
79,2009-03-20,2009,3,20,1,6,False
80,2009-03-21,2009,3,21,1,7,False
81,2009-03-22,2009,3,22,1,1,False
82,2009-03-23,2009,3,23,1,2,False
83,2009-03-24,2009,3,24,1,3,False
84,2009-03-25,2009,3,25,1,4,False
85,2009-03-26,2009,3,26,1,5,False
86,2009-03-27,2009,3,27,1,6,False
87,2009-03-28,2009,3,28,1,7,False
88,2009-03-29,2009,3,29,1,1,False
89,2009-03-30,2009,3,30,1,2,False
90,2009-03-31,2009,3,31,1,3,False
91,2009-04-01,2009,4,1,2,4,False
92,2009-04-02,2009,4,2,2,5,False
93,2009-04-03,2009,4,3,2,6,False
94,2009-04-04,2009,4,4,2,7,False
95,2009-04-05,2009,4,5,2,1,False
96,2009-04-06,2009,4,6,2,2,False
97,2009-04-07,2009,4,7,2,3,False
98,2009-04-08,2009,4,8,2,4,False
99,2009-04-09,2009,4,9,2,5,False
100,2009-04-10,2009,4,10,2,6,False
101,2009-04-11,2009,4,11,2,7,False
